Field,Point,Height_mean,Height_sd,Pod_mean,Pod_sd,Branch_mean,Branch_sd,SW_mean,SW_sd
1,1,99.5,6.258327785,53.9,18.44782432,0.7,0.823272602,24.68272414,8.44791389
1,2,88.7,8.525126262,35.2,19.30918032,0.4,0.516397779,14.34827586,7.870836529
1,3,107.1,4.357624225,53.1,13.56015405,1,0.942809042,21.86004598,5.582402842
2,1,93.1,4.040077007,81.9,47.7410841,3.2,2.299758441,39.93106897,23.27658757
2,2,78.8,6.425643072,46.7,29.25007122,1.2,1.813529401,20.55873563,12.87675549
2,3,76.8,2.898275349,68.7,24.98910874,3.8,1.316561177,35.97517241,13.08569862
3,1,48.2,5.59364719,23,14.4222051,1.5,1.58113883,4.65,2.91579364
3,2,58.1,2.998147576,25,12.6578917,2.5,0.971825316,3.91,1.979694261
3,3,41.9,3.573047252,19.4,11.76813022,2.5,1.649915823,4.39,2.662994416
4,1,42.3,1.946506843,23,14.8548533,4.4,1.429840706,3.811781609,2.461889419
4,2,52.44444444,4.186618896,26.9,15.53097264,3.444444444,1.740051085,7.79454023,4.500252455
4,3,49.5,5.681353516,37.5,25.48310987,2.5,2.173067468,9.021551724,6.130591835
5,1,54.11111111,5.797509044,19.44444444,10.33333333,1.777777778,1.301708279,4.96633461,2.639252107
5,2,57.2,7.09929574,24.4,13.46765673,2.1,1.449137675,7.851908046,4.333885337
5,3,56.35,4.069193204,35,15.25341492,2.1,0.875595036,9.797425287,4.269834087
6,1,50.45,3.286757943,10.4,3.098386677,0.4,0.699205899,5.65816092,1.685689462
6,2,40.4,3.098386677,10.3,4.854551129,1.3,0.948683298,5.330287356,2.512247816
6,3,40.2,11.34117376,9.7,3.164033993,0.6,0.966091783,5.508275862,1.796739389
7,1,72.7,5.01220732,42.6,13.35165408,0.4,0.699205899,15.96087356,5.002442785
7,2,66.1,2.065591118,32.5,5.602578771,0.8,0.632455532,14.31701149,2.468067221
7,3,67.1,2.481039209,42.5,13.28533026,1,0.666666667,18.81664368,5.88200766
8,1,31.8,2.440400696,20.7,7.056124212,0.7,0.674948558,3.77954023,1.288352914
8,2,41.6,4.03319559,21.9,7.519604008,1.444444444,0.881917104,5.002758621,1.717751771
8,3,40.5,2.798809271,30.3,5.907622195,1.7,1.159501809,7.463356322,1.455138266
9,1,77.7,4.547282461,37.7,11.97265403,1.2,0.788810638,9.754643678,3.097850767
9,2,53.35,3.266411555,20.4,4.993328883,0.9,0.316227766,5.264091954,1.288497176
9,3,53.2,7.495183639,26.8,13.43130671,1.3,1.059349905,7.825816092,3.922049858
10,1,52.55,5.346078521,12.1,6.402256547,0.3,0.483045892,3,1.587336334
10,2,66.3,8.083591061,7.7,8.273787256,0.2,0.421637021,2.39,2.568097603
10,3,89.55,8.744680923,32.2,11.83966967,1.2,1.032795559,6.94,2.551779735
11,1,66,4.966554809,44.4,24.7125699,2.4,1.712697677,14.37597701,8.001516594
11,2,60.05,4.336216989,29.6,11.13752416,1.5,1.354006401,9.330862069,3.510902086
11,3,62.8,9.507891459,54.7,32.56804842,2.5,2.173067468,21.46551724,12.78043885
12,1,97.8,6.844300143,65.5,24.11200715,2.1,1.370320319,22.55126437,8.301622103
12,2,97.66666667,5.744562647,59.55555556,12.03236377,2.222222222,0.833333333,18.49438059,3.736529913
12,3,88.77777778,2.223610677,54.44444444,10.13793755,2.333333333,1.322875656,18.50360153,3.445500431
13,1,44.25,4.131518419,14.4,4.325634186,0.7,0.674948558,3.839724138,1.153419583
13,2,73.66666667,3.708099244,30.44444444,16.53111544,0.888888889,1.364225462,8.681813538,4.714162615
13,3,48.9,5.78215646,19,8.602325267,0.2,0.421637021,5.181563218,2.345973273
14,1,64.9,3.900142448,43,9.486832981,0.7,1.059349905,6.11,1.348012779
14,2,48.35,10.13807455,21,8.819171037,0.1,0.316227766,2.5,1.049901314
14,3,55,3.590109871,20.4,9.957688264,0.7,1.159501809,1.9,0.92743175
15,1,44.7,4.98998998,12.5,6.687467549,1.3,1.418136492,2.689655172,1.438958535
15,2,67.6,5.481281278,27.7,11.64330995,1,0.942809042,6.910344828,2.90466739
15,3,56.8,6.106462879,27.6,13.54990775,1.6,0.966091783,6.817241379,3.346847529
16,1,64.2,7.800284895,23.9,9.711962841,0.4,0.699205899,9.060402299,3.681769475
16,2,73.9,5.611496136,41.9,15.60947006,1.2,1.316561177,14.74005747,5.49127651
16,3,95.8,3.794733192,51.2,11.45813636,1.5,1.08012345,18.25986207,4.086406046
17,1,93.6,9.709102259,45.2,13.00256385,1.5,1.08012345,16.20258621,4.660954905
17,2,71.4,10.02441464,29.5,9.548123725,0.5,0.707106781,6.265655172,2.027974604
17,3,99.3,3.23350515,57.3,13.14069168,2.4,1.646545205,15.77324138,3.617300205
18,1,96.95,5.314811589,54.2,17.62447793,2.1,1.100504935,15.63986207,5.085690107
18,2,74.7,4.62000481,30.6,16.18092155,2,1.699673171,8.946965517,4.73105056
18,3,85.4,3.565264522,36.3,7.803845206,1.4,0.966091783,11.25117241,2.418799116
19,1,97.6,6.603029608,32.5,9.81212402,0.8,1.032795559,9.207,2.779699257
19,2,89.8,4.939635614,32,12.31079021,0.8,1.032795559,8.824666667,3.394956875
19,3,83.33333333,5.744562647,31.44444444,10.23610169,1,1,7.13,2.321027015
20,1,90.9,4.748099035,46.9,17.75418573,1.5,1.354006401,7.654390805,2.897600768
20,2,114.9,4.357624225,50.5,11.60699023,1.8,1.751190072,15.79310345,3.62990886
20,3,95.8,3.521363372,39.6,13.09961832,2.1,1.523883927,6.517287356,2.155908505
21,1,82.4,9.082339395,16.3,7.689097621,0,0,5.116724138,2.413680454
21,2,84.55555556,8.733715004,26,8.170067319,0,0,5.854789272,1.839770096
21,3,85.4,5.796550698,25.4,9.777525249,0,0,4.577586207,1.76210491
22,1,102.7,15.82578768,65.6,27.30567707,2.6,1.505545305,25.3816092,10.56496988
22,2,85.8,12.85647265,66.1,39.04826074,1.9,1.663329993,24.35954023,14.39028258
22,3,117.9,8.504247305,51.9,14.63974802,1.3,1.33749351,17.8582069,5.037372816
23,1,66.5,4.527692569,29.6,17.6899218,1.8,1.316561177,3.48,2.079761077
23,2,59.4,3.565264522,27.1,20.18497791,1.1,1.663329993,3.33,2.480294334
23,3,58.4,8.248905651,29.4,19.73265765,1.6,1.837873167,5.71,3.832431128
24,1,92.456,7.66221639,75.7,24.40878712,3.2,1.032795559,29.56727586,9.533703334
24,2,90.043,3.303627804,64.9,29.11834092,2.9,1.523883927,28.22390805,12.66307206
24,3,105.156,4.3502521,50,11.47945024,2.1,1.100504935,20.81094253,4.777963583
25,1,85.725,5.71891841,39.2,13.09622507,1.8,0.918936583,10.6137931,3.545934269
25,2,86.36,16.22670407,34.66666667,11.12429773,1.888888889,0.927960727,9.413793103,3.020822229
25,3,86.36,3.541860779,35.8,8.038794824,1.6,0.699205899,10.15572414,2.280440856
26,1,83.947,4.953180908,37.7,3.591656999,1.2,0.421637021,11.53933333,1.099345553
26,2,76.581,6.721541573,39.9,10.53512643,1.2,0.421637021,11.76970115,3.10765137
26,3,90.805,9.878281733,65.5,20.22237485,2.6,1.264911064,21.91062069,6.764653202
27,1,72.898,7.901718238,23.7,10.5097838,2.4,0.966091783,10.08382759,4.471681343
27,2,97.409,8.296685349,58.3,32.73139845,3.6,1.776388346,26.46321839,14.85725807
27,3,104.14,10.16,43.4,21.01428086,2,0.942809042,17.39277011,8.421579634
28,1,58.674,6.497856399,22.6,9.856751775,2.2,0.918936583,1.49,0.649847794
28,2,66.04,10.80951638,22.8,9.366607354,2.4,0.843274043,1.61,0.66141394
28,3,76.835,4.836015922,49,20.73644135,3.5,1.269295518,5.33,2.255616988
29,1,77.724,9.055771886,35,4.642796092,1.9,1.286683938,11.38227586,1.509873883
29,2,83.693,6.811589878,33,11.24475186,2.5,1.269295518,11.79882759,4.020451166
29,3,77.978,8.213103081,35,16.55294536,2.3,1.418136492,11.36331034,5.37417872
30,1,64.6,5.699902533,38.7,19.06742423,2.1,1.449137675,11.30241379,5.568680067
30,2,56.769,6.223143989,25.3,8.000694414,1.7,1.059349905,7.906528736,2.50030515
30,3,96.774,5.673298472,62.3,13.94473218,2.8,1.032795559,15.68241379,3.510225687
31,1,104,4.153311931,43.44444444,15.33876715,1.333333333,1.224744871,9.688633461,3.420729499
31,2,95.5,9.675283516,34.1,20.73885243,0.9,0.875595036,7.732229885,4.702568168
31,3,93.8,10.86073458,47.6,23.24363712,1.4,1.712697677,11.81896552,5.771339194
32,1,93.875,2.167124494,64.25,21.19804573,2.5,1.414213562,21.12974138,6.971349791
32,2,110.3,10.33924562,53.4,8.796463936,1.2,1.032795559,15.54133333,2.560089479
32,3,80.9,11.43775425,30.7,9.67298644,1.2,1.032795559,8.798942529,2.772379536
33,1,37,3.972125096,17.4,9.082339395,0.2,0.421637021,2.792758621,1.457746071
33,2,47.1,2.643650675,63.6,41.19115331,3.3,2.907843798,14.29114943,9.255800739
33,3,52.9,5.546770832,49.4,19.27692922,1.4,1.349897115,11.88905747,4.639362739
34,1,40.4,7.720103626,68.5,25.19810399,5.7,1.494434118,19.51966667,7.180417378
34,2,33.85,3.712217067,53.5,27.68172281,4.4,1.264911064,14.28201149,7.389732399
34,3,38.5,5.681353516,70.6,21.92005677,6.2,1.87379591,18.12514943,5.627539722
35,1,79.45,5.209233256,54.6,18.29511167,4.2,1.475729575,16.13558621,5.406636475
35,2,70.2,10.52826882,66.8,27.19803915,4.7,3.056868405,21.82068966,8.88443071
35,3,72.8,4.685675571,80,16.39105447,6.6,2.011080417,20.00206897,4.098187524
36,1,35.4,3.062315754,47,21.65640783,5.555555556,1.130388331,14.46960409,6.667226536
36,2,38.65,5.436757612,36.5,20.21687964,5.1,2.378141198,8.951149425,4.957926316
36,3,33.5,5.887840578,30,9.831920803,4.5,2.068278941,7.217241379,2.365311522
37,1,80.5,5.131601439,37.3,10.63589311,1.4,0.966091783,13.42063218,3.826820626
37,2,65.15,10.77045857,32.6,15.51486742,0.5,0.707106781,11.9883908,5.705469139
37,3,72.8,4.289522118,34,12.489996,0.9,0.737864787,10.66224138,3.916804475
38,1,75.4,13.15674732,31.6,23.78234639,1.5,1.649915823,7.406563218,5.574223166
38,2,74,9.89668856,38,14.03962646,2,1.247219129,12.77332184,4.719280717
38,3,73.25,5.884301148,40.1,19.31292026,2,1.154700538,13.77686207,6.635197969
39,1,79.5,4.156654638,53.2,23.95736955,3.9,2.024845673,15.58786207,7.019627294
39,2,89.85,9.758329775,58,22.48950372,4.1,2.424412873,16.40689655,6.361775192
39,3,87.2,7.420691792,63.2,32.2999828,4.7,2.110818693,16.2745977,8.317551042
40,1,56.15,5.027977283,22.6,12.60687643,1.5,1.354006401,10.00543678,5.581296688
40,2,73,4.737556801,36.8,15.05397696,2.2,1.316561177,14.59704598,5.971293309
40,3,63.15,5.911617564,24.7,12.71962613,1.4,1.264911064,11.24410345,5.790315467
41,1,88.1,9.468661762,48.1,16.05857334,2,1.247219129,10.52966667,3.515414229
41,2,85.4,4.221637386,53.1,20.18497791,2.3,1.766981104,13.65033333,5.188920468
41,3,81,2.449489743,76.8,18.76640023,3.6,2.319003617,17.21903448,4.207542875
42,1,60.9,8.020113604,58.8,29.89165621,3.2,1.619327707,8.567356322,4.355314113
42,2,56.7,9.310090106,60.9,24.91518948,3.6,1.897366596,10.60045977,4.336822064
42,3,64.66666667,4.272001873,55.44444444,37.58361049,3.333333333,2.236067977,7.057484036,4.783991142
43,1,80.9,9.137225448,46.9,19.30141043,4.7,2.869378562,13.34834483,5.49343032
43,2,83.8,11.84905059,42.5,16.17439678,4.1,2.131770261,7.645241379,2.909580412
43,3,90.8,8.991353872,55.2,18.45595357,4,2.40370085,13.83066667,4.6242417
44,1,85.4,7.136759302,53.1,21.44994172,3,1.632993162,9.330482759,3.769083078
44,2,77.7,6.912950809,72.8,29.34015072,4.3,2.110818693,12.46462069,5.023541892
44,3,76.6,9.709102259,72.7,37.03466844,3.4,2.547329757,13.764,7.011625536
45,1,72.11111111,4.226240778,50.66666667,27.13853349,2.888888889,2.571208103,9.427279693,5.049523928
45,2,80.5,3.374742789,78.4,23.61355543,5,1.885618083,17.2108046,5.183779188
45,3,80.88888889,3.40750805,83.55555556,34.71711073,4.777777778,2.773886163,17.36922095,7.21686503
46,1,74.8,6.08824003,93.5,41.14270558,5.6,3.134042473,19.966,8.785617749
46,2,77.6,6.947421584,51.1,20.96796498,3.1,1.449137675,9.465816092,3.884127209
46,3,100.1,3.034981237,87.1,10.49285471,5.8,1.475729575,19.85921839,2.392421277
47,1,78.6,5.853773712,60.4,33.09313457,4.9,2.330951165,14.5,7.944543895
47,2,77.6,8.59198593,72.8,27.55519713,6.1,1.91195072,16.69,6.317256045
47,3,70.8,5.094659513,70.2,15.79592071,5.2,1.619327707,14.08,3.168184667
48,1,39.2,5.43241301,32.9,9.182713228,2.8,0.918936583,4.43,1.236456523
48,2,45.3,2.879043051,25.2,6.250333324,2.1,1.197219,3.97,0.984675528
48,3,45.2,3.881580434,,,2.1,1.449137675,,
49,1,74.8,3.047767854,26.9,16.03087299,0.5,0.849836586,9.93045977,5.91799031
49,2,80.4,5.719362824,52.7,17.95085885,3,2.211083194,15.07282759,5.134159401
49,3,61.5,5.461989869,35.6,25.89809088,1.9,2.078995484,13.39806897,9.746753024
50,1,76.6,5.636192568,61.6,22.38154001,2.8,2.529822128,22.19213793,8.063217907
50,2,71.3,2.42899156,40.9,21.18935792,1.3,2.110818693,13.40455172,6.944592767
50,3,84.75,4.328522971,46.5,8.733715004,2.7,1.418136492,15.15862069,2.847119849
51,1,70.5,4.062019202,57.3,19.66977377,4.5,2.121320344,11.04827586,3.792619314
51,2,72.6,2.458545189,53.9,18.04592906,4.2,1.475729575,16.99898851,5.691327284
51,3,72.5,2.798809271,64.6,12.07568724,5.4,1.349897115,13.48,2.519818327
